,Word,Mnemonic_1,Mnemonic_2,Mnemonic_3,Mnemonic_4,Mnemonic_5,Mnemonic_6,Mnemonic_7,Mnemonic_8,Mnemonic_9,Mnemonic_10,Mnemonic_11,Mnemonic_12,Mnemonic_13,Mnemonic_14,Mnemonic_15,Mnemonic_16,Mnemonic_17,Mnemonic_18,Mnemonic_19,Mnemonic_20,Mnemonic_21,Mnemonic_22,Mnemonic_23,Mnemonic_24,Mnemonic_25,Mnemonic_26
120,aloof,"aloof:aloo(potato)+f..u like aloo so mom keeps it ""apart"" for u..it is ""reserved"" for u",Aloof (ALOne in the rOOF); when some is alone in the roof; he is at  distance from other members of house.,aloof~ a roof; Alone on roof top !!,"aloof- imagine you cant call anyone you are lone and apart so first while you call someone you say ""alo"" no answer so you say ""of"" nobody answering you are apart and reserved - alo+of",consider aloof is pronounced as a+lu...we always keep lu area apart from the home so that it will not create any problem in daily life,ALOOF = ALO + OF; ALOO OF STORE IS ALWAYS STORED IN COLD STORE.,"ALOOF<===> à¤…à¤²à¤—/à¤¦à¥‚à¤° (pr. \\alag/dur \\ )[Adjective]

Example:He keeps himself aloof from politics.

ALOOFNESS<===> à¤¦à¥‚à¤°à¥€ (pr. \\duri \\ )[Noun]

Example:He is subjected to criticism due to his aloofness from his collegues.",u r aloo(potato) so f*** o**,"aloo+off...stay away fom aloo..keep distance from aloo;or else you will become
 fat",aloof=a+loofer as he is a loofer he is seperated from others,,,,,,,,,,,,,,,,
121,clangor,langur(monkey)- sound of langur is loud and resounding.,Clangor sounds like anger...,clangor ~ CLANG ~ sounds like BANG..so BANGer is lound repeated noise,"BANG+HER:In movies(A) when the bad guy says "" Lets BANG HER(rape her)"" then understanding their moves heroine shouts a loud for her HERO or BOYFRIEND",remember the bells that make clang clang clang sounds,Chekhing like LANGOR,,,,,,,,,,,,,,,,,,,,
122,conventional,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
123,debunk,DE+BUNK..so when you bunked your college; and got caught by your teacher... your teacher exaggerated this fact and ridiculed you in front of the class.,it can b like ...despite of not bunking the class i was ridiculed and exposed exxageratedly by teacher in front of class.,DEBUNK: THE BUNK(petrol bunk) gives the cheapest petrol in india...now thats exaggeration cos rate of petrol is same everywhere,Call someone a punk means u ridicule him.,,,,,,,,,,,,,,,,,,,,,,
124,diminutive,THE+MINUTEive.....,dimin+utiveâ€”diminish which means very small,Di+minutive--- minuteâ€”very small,,,,,,,,,,,,,,,,,,,,,,,
125,discernible,"break as Dis-earn-able
anything from which money can be earned is easily distinguishable...",discern sounds like an opposite of concern.wen u discern someone ;u would find a distinguishable change after u meet that person after a long time...isnt it ..!!!?,Dis (sounds like This) + CERN (physics project in Europe; if u don know google for it) = THIS CERN project must have a lot of mentally quick and observant scientists; since it is one of the largest projects in the world!,dis-is-earnable (perceivable),"""NIBBLE"" is to spend time on small things .. that is distinguish smallest part in details.. :P
similarly Disernible",if u r discerning...everything is discernible...!!!,split as did and earn means that the money earned is distinguished for every employee,sounds like VISIBLE that is perceivable,,,,,,,,,,,,,,,,,,
126,enigmatic,"Enigmatic = ""a night magic"" --> Magic at night is mysterious and difficult to understand.",sounds like arithematic--difficult to understand n mysterious as 'x' is always unknown,enigmatic...e+nig+ma+tic...related to night mare which wud be mysteious;unclear,eni (ANY) + matic (MAGIC) is confusing...,,,,,,,,,,,,,,,,,,,,,,
127,estranged,"eSTRANGE  looks like stranger.
We are always alienated towards strangers.",strange-strange people are alienated.,estranged = make strangs of meaning alienating each strang,like becoming strangers,,,,,,,,,,,,,,,,,,,,,,
128,extravagant,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
129,fanciful,fanciful is full of fancies.,,,,,,,,,,,,,,,,,,,,,,,,,
130,frivolous,"Fri-vo-lous
~Free - If something is free; u dont take it seriously; you think oh they are giving it for free coz its not that important stuff.. or not the stuff in demand.. or not the stuff taken seriously by public..",Fri+vol+ous = Free+Will ->one who acts with his own will; carefree; not serious.,i do feel a bit FIVIRISH;; but nothing too serious or anything to worry about,FAR FROM SERIOUS = FRIVOLOUS ; i.e lacking seriousness,FRIVOLOUS = FREE + VO +LOiUS; Louis is very carefree.,,,,,,,,,,,,,,,,,,,,,
131,heterogeneous,If you have a group of people of various sexes and races; you have a HETERO GENUS group of people.,If you are HETEROsexual then you like people not of the same gender,,,,,,,,,,,,,,,,,,,,,,,,
132,imperious,"imperial(emperor) imperial army wil be alway have ""ghamand"" so they aare arrogant;overpower",I+M+PERIOUS(pari jaisi)....jo ladkiya sochti hain ki wo pari jaisi hain; wo ladkiya arrogant and domineering hoti hain.....,remember imperious curse in harry potter!!it is used to command others to do something!!,IMPERIOUS -> IMPERIAL,every  morning PERI-pona us. somwsuperior always expects lowers should bent in front of him,"pari to god:""though I M an indian PARI still i am going TO THE US.."";
GOD TO PARI:""NOW THATS BEING IMPERVIOUS..""...:)",sounds impervious >>> which means not affected by something; such people are unaffected by other people's emotions and are arrogant.,Read imperious as = I'm + (all) empires. (statement alone is arrogant and domineering),,,,,,,,,,,,,,,,,,
133,impertinent,"we its ending words ""tinent"" sounds like tenant-> so whena imperial owner talks to his tenant he doesnt give any respect...",IMproPER tenant(tinent) are rude and insolent,"well... its jst the opp of 
Pertinent: relevant; related; appropriate; fitting",I+M+PERT+INSOLENT...impertinent means rude hence the word itself tell us the meaning(pert;insolent means rude),its like a child not giving 'perk' chocolate to his elders...so disrespectful;insolent;impudent of him!,when u pronounce this word rudely you will get the meaning .like imPHERtinent;MEANS RUDE.,impertinent = im (not) + pertinent. not from common teritory.,impertinent - mostly in india husbands(parti)are bold and rude,,,,,,,,,,,,,,,,,,
134,invasive,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
135,irresolute,(IR)not knowing... how to make resolutions.,ir+resolute--- resolute means firm and determined; irresolute means the opposite; doubtful,"think urself as inspector
and suddenly a commisoner came
u will confused whether to salute
u r uncertain about it
as he is in formal dress",DIS+CRE(e)P+(f)ANCY:- DIS(-ive) ;CRE(e)P(help);(f)ANCY(want to do sth) -> if you not want to help them it means you make them divergence from their clam or solution because you are disagree from them.,,,,,,,,,,,,,,,,,,,,,,
136,laudable,Manhattan residents were ABLE to show their LOUD (noisy) demonstration when they saw the Joker instead of LAUDABLE Batman.,This Girl is laudable because really one can laud,"think of ""appLAUDABLE""",,,,,,,,,,,,,,,,,,,,,,,
137,lax,LAX - reLAX - careless,lax sounds similar to tax ; dont be lax while submitting tax proofs every financial year end.,Remember it as LACK;then one who lacks; is not strict; severe or careful enough about work; rules or standards of behaviour,LAXman is a CARELESS batsman... tats y he s not selected for ODI's,"LAX is pronounced ""lacks"" which is an anagram for ""slack"".. i.e. careless/ not strict..
Hence LAX = not stringent.",lax seems like lacks which can be relate in the clasroom when we lack concentration,,,,,,,,,,,,,,,,,,,,
138,marginalize,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
139,panache,ir reminds of the movie FASHION.all de top models wer frm panache..therefore u cn relate it to stylish way of dressin,panache.. sounds like moustache... ppl grow differnts kinds of moustaches to appear stylish,"if u have seen the movie ""FASHION""... priyanka chopra models for the company PANACHE;;; which shows pryinaka chopra is stylish ; energetic; and famboyant",people eat PAN to showoff; but they don't know that it will cause ACHE,sounds like headache so they can do things with out head ache,Problem+Cash. If you have cash.. you'll solve your problem without any difficulty.,,,,,,,,,,,,,,,,,,,,
140,plodding,think of PLOTTING which moves slowly,it sounds like applaud ; implies to come & collect prize ; we walk plodding while applauding,,,,,,,,,,,,,,,,,,,,,,,,
141,prosaic,mosaic--->beautiful artistic work with full of vibrant colours.....prosaic ...opposite of that ...dull,divide it like pros(prose)+aic- prose consist of facts and facts do not produce any interest in you; do not require any imagination so prose is dull and unimaginative and very boring in reading.,Prosaic - Prozac is a tablet given to depressed people. Depressed people are dull and unimaginative,prosaic=mosaic;stone which is dull,mere pados(neighbor)me kuch exciting nahi hota;so living here is prosaic,p+rosa+icâ€”ROSAna  same khana dal roti; DULL; BORING,prose consists just of matters of fact whereas in poetry is full of imaginative expressions. so obviously prose is dull and unimaginative,"imagine dat a ""prose"" composition is ""sacked"" frm ur eng-prose book...coz it was so ""dull n unimaginative"" dat no1 wnts 2 read it...",,prose consists just of matters of fact whereas in poetry is full of imaginative expressions. so obviously prose is dull and unimaginative,prosaic= pro (in favor) + sa(South Africa) + ic (indian cricket); Indian primier league in favor of south africa is hopless for us.,"pro=bro
saic=sail which is govt. leading compny...so my bro is in sail..there is uninspiring nd unglamorous atmosphere...",,,,,,,,,,,,,,
142,remedial,Re-Med as in Medication can help you improve a disease.,,,,,,,,,,,,,,,,,,,,,,,,,
143,restive,Restive is actually restless. Like factitious  is actually factless :),restive.. rest ivvu rest ivvu a person is repeatedly saying.. restivvu restivvu.. so tht means hes restless..,Restive sounds like festive.In festivals we will be impatiently restless.,REST+deprIVE....Deprived of rest is Restive....,restive = rest + ive; without rest,,,,,,,,,,,,,,,,,,,,,
144,sporadic,sporadic== opposite of periodic; we know periodic things occur regularly.,Take the first half of the word; i.e SPOR which sounds like pores. Pimples which OCCUR IRREGULARLY create pores in the skin.,sporadic..spora(spores). spores are cells which grow irregulary;like a media plate when exposed to fungi spores ;next day you will see a irregular growth.,SPORES on DICK occurs occasionally and at scattered instances.,"we can say sporadic as  
spasmodic.","sporadic
= spores+ periodic
we know females perdically discharge sopres but fertilization of these sores and thus pregnancy occurs by chance
and thus sporadic = spores being fertilized not periodic and so occurring by chance",Remember Spores in flower.They are ocasionaly transferred by wind from one flower to another,"today: PORA!!
tomorrow: IC!! tu fir aa gya be.. PORA!!

hahahahahah.. that means.... hahahah occurring irregularly :P",She was a POOR RADICal because her demonstrations only occured on occasion and in scattered instances.,sporadic~spot-radical: something RADICAL can just be SPOTted occasionally. E.g. I.Newton who occasionally SPOTted the falling apple gave birth to the RADICAL theory of gravitation.,,,,,,,,,,,,,,,,
145,stigmatize,to stick bad things to others,To suck a cock,,,,,,,,,,,,,,,,,,,,,,,,
146,undermine,UNDERMINE ....Minining under the earth would GRADUALLY WEAKEN strength of  soil and rock,undermine = under + mind(e). am loosin confidence or will (mind). so when am loosing confidence i ll work UNDER MY  capacity. so undermine = gradually reducing,"we say to somebody ""you are UNDER MY (mine) control"" infact we are weakening him...!!!",undermine+inside mine..the people going inside the mines become weaker as they have to travel long inside the earth,Undermine and mine... in both words; you are refering to ... caving in or making a hollow.,guys vivid meaning for this word has been given in http://www.yourdictionary.com/fiasco#..do refer this,,,,,,,,,,,,,,,,,,,,
147,utterly,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
148,weary,After long work surely u will look for leaving formal DRESS(WEAR),Weary and Dreary...when you are weary (tired); everything seems dreary(gloomy).,"if you are told to wear same dress everyday then 1 day you wil get tired wearing it and ask ""WEAR dis?? Y????""",Wearing all safety dress made him tired after long work,he is weary due to lot of worries.i.e. worries made him weary,Sounds like SURGERY. After a surgery; you often feel very tired.,,,,,,,,,,,,,,,,,,,,
149,zealous,Zealous....Zeal+ous...havin ZEAL to do nything,Zealous=Zeal+ous zeal sounds like seal .. seals like to swim and be active and energetic,American modern pagans who praying to Zeus. Leader has hat with pattern of American flag.,,,,,,,,,,,,,,,,,,,,,,,
150,admonish,"in the add of ""eak choti si love story"" monisha koiralla on orkut and she shall admonish u/warn u for doing so",adm(in)+on(e)+(pun)ish : (net)admin in the company is one step away (Giving strong warning now) from punishing you.bcoz you are accessing prohibited network sites.,"to avoid A DEMON-ish act; a mother Warns her naughty child
[Note: A face of a demon as the warning Sign]","Admonish--->Ad(Advertisement)+Monish(person's name)--Direct Monish was warned by Censored board for making Uncensored Advertisement.
Hope this helps.:)",admonish ~ ADD MANISH -- Add Manish in the list of guys whom we will WARN to stay away from her.,Admonish spounds similar to Admission Before giving addmission into bar guards admonish (warn)youth,Th cop warned the rash driving BRITISH and ADDed MONey to the fine.,Add + Punish= since scolding; reproving; or berating is a form of punishment; think add punish = admonish,Ad+ monish: monish  means warning; so ad+ monish; warning,monish --> admonish,Adamant Monica was punished,ad+moni+sh=moni always warns us for some misfortune.,"ADMONISH<===> à¤¡à¤¾à¤à¤Ÿà¤¨à¤¾ (pr. \\DaNaTana \\ )[Noun]


ADMONISH<===> à¤—à¤®à¥à¤­à¥€à¤°à¤¤à¤¾ à¤¸à¥‡ à¤¸à¤²à¤¾à¤¹ à¤¦à¥‡à¤¨à¤¾ (pr. \\gambhirata se salah dena \\ )[Verb]

Example:He was admonished to open a bank account for himself.
ADMO",,,,,,,,,,,,,
151,aesthetic,"aes + thetic
opposite of ""pathetic""..means beauty",aes sounds like ash-aishvarya.so;everyone appreciates the beauty of aishvarya.,"Sounds like ""anesthesia;"" which makes you loopy; thinking everything around you is beautiful...","AESTHETIC<===> à¤¸à¥Œà¤‚à¤¦à¤°à¥à¤¯à¤ªà¥à¤°à¥‡à¤®à¥€ (pr. \\saunadaryapremi \\ )[Adjective]

Example:He is a very aesthetic person.

AESTHETIC<===> à¤•à¤²à¤¾à¤¤à¥à¤®à¤• (pr. \\kalatmak \\ )[Adjective]

Example:His house is very beautiful bec",aesthetic ~ aastha (faith or belief); You have aastha in aesthetic things (person or object),aesthetic - the sea is beautiful.,If you are a good engineer; you can advert Aesthetics to Statics( an engineering course),Aastha is a beautiful girl having good taste,,,,,,,,,,,,,,,,,,
152,affectation,"'affection' is natural and true; but
'affectation' is artificial and pretentious",,,,,,,,,,,,,,,,,,,,,,,,,
153,alleviate,ALL (all)+ EVI (evil)+ ATE (has been eaten up) so hence you are relieved of the pain and you feel relief,alleviate ~ elevator: It sounds like elevator and elevator helps us reduce leg pain while walking or climbing stairs.,alleviate= ALL+LEVIS+ATE ; people of old age r wearing dhoti while they ate as it gives relieve to them;bt nowadays ALL youngsters r wearing LEVIS JEANS while they ATE n r saying that it gives us RELIEVE while we eat.,Alle(Ginger in marathi) khane ke baad daat ka dard kam hota hai,viate-supress,ALLEVIATE = Allegation is going to ate i.e relieves the pain.,"ALLEVIATE<===> à¤•à¤® à¤•à¤°à¤¨à¤¾ (pr. \\kam karana \\ )[Verb]

Example:The govt. has introduced schemes to alleviate poverty.",,,,,,,,,,,,,,,,,,,
154,analogous,remember analogous from analogy,"ana""log""ous:in log tables all values seem similar",We know analog watches >> their movement is similar to that of the earth >> time progresses as the earth moves in rotation.,Analogies are given by the lecturers while teaching which compares the example with the present subject,,"ANALOGOUS<===> à¤…à¤¨à¥à¤°à¥‚à¤ª (pr. \\anurup \\ )[Adjective]

Example:Unconsciousness was sometimes held to be analogous to death.",,,,,,,,,,,,,,,,,,,,
155,bolster,RELATE TO BOLT>> USED TO SUPPORT OR REINFORCE,read bolster as booster which mean giving extra energy and hence to support and strengthen someone or something.,usually when thr is a divan in the hall of a house...we place cushions and BOLSTERS (longer cushions)to sit comfortably and for back support,Make Something BOLDer,Bolster actually means ; Raise physical or mental Strength,sounds like foster,Bolster = bol (talk) + ster(star);,Bolster = Fit the bolt for star i.e to support.,,,,,,,,,,,,,,,,,,
156,chauvinistic,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
157,connoisseur,(In Hindi Language) Connoisseur sounds like kaun inse sure nahi hoga; kaun nahi sure.. Ye to expert hai. He is connoisseur. He is EXPERT.,"in connoisseur  take ""nn"" and ""ss""  as two persons. theres a tie between them. so who is the winner? connoisseur should decide who is the winner. so he is a judge.",Connoisseur is always SURE as he is an expert or a good judge,connoisseur;is like noise ur..so imagine a situation of a singing competition in which the judge says what a noise ur,Conozco from Spanish means to know. Connoisseur is someone with a lot of knowledge- an expert,read it as kon issue solve karega??? the answer is judge of art...,"kaun+no/is+sure? => obviously an EXPERT says ""not sure"" or ""is sure""",a wine connoisseur CONsiders the wine by smelling with his NOSE and becoming SURE about it,,,,,,,,,,,,,,,,,,
158,dissemble ,"The word sounds like ""resemble""...the person/ a thing of tat type can be in disguise...","seems like ""dis assemble""(break) you broke the favourite pot of mom n den tried to ""conceal"" ur mistake...or pretending",DIS+ASSEMBLE....assemble means to bring parts together like we do in computers...now you have got a computer having secret information in it...hence to hide your motives; you will dissemble your computer....,"Dis sem bale bale ho gayi..:P 
hence i have disguise to my parents",dessemble = not resemble i.e disguise,read as this-resemble. When one thing resembles other; it can disguise viewer for it.,semble stands for the appearance of a person.. dis+semble== relate it with false appearance.hence DISSEMBLE is disguise; pretend,dissemble sounds like ressemble...so its like dis two twins who ressemble same can DISSEMBLE us..,"She smiled at her boss; but thought; ""Dis some bull (sh*t)""",Dissemble = Disguise,Sounds like resemble and resembling things can disguise,Do not resemble your true feelings,Dis(not)+semble(image): real image/nature is hidden,ï‚§	When an army was assembling for war; the mother dissembled her son in her home,,,,,,,,,,,,
159,dogged,a dogs tail is always curved and can never be made straight thus it is dogged,close to dogmatic,A dog's undying determination makes it d most faithful animal.,,,,,,,,,,,,,,,,,,,,,,,
160,dupe,duplicates(in movies) are used to fool people....,"DUPE sounds like dope means so ""to impure something""; means to cheat someone....",dupe = [du]mmy+[pe]t ex. a fool dog,That DUde Punk'd mE! ~ Dupe,from dupe think of dopehead which means stupid & he can be easily cheated,Soud like dukes and Dukes can deceive us by giving taste of mango,Sounds like POPE: pope who deceives people for money in Vatican city,people who Dope (i.e. take drugs) are fools,people who dope are victim of deception; they can be easily deceived,"a dude is like stud; who is smart
whereas a dupe is stupid and can be tricked easily",du(dummy)+pe(person):),"dupe; 
(DU)mb+(PE)rson ; a dumb person can be fooled or tricked easily",dupe is a shortform of duplicate....duplicates are used in movies to fool people...,,,,,,,,,,,,,
161,empirical,Empire...maintaining an empire requires much practical experiences and workouts....,"empirical sounds like ""inspired frm practicals""...and dats the meaning..","""Empirical"" college of london is so famous becoz its professors are so ""EXPERIENCED """,emperical formula-a formula can b stated after experiencing the validity of its results.,Marco Polo knew about China because he saw the EMPIRE with his own eyes.,woh aam pi rai thi kal so i can seay that usee aam pasand hai(means i m deriving this from a previous exerience),we use to study in software engineering EMPIRICAL software estimation models in whch we use to do estimation based on past OBSERVATION,em + practical -> em pirical,,,,,,,,,,,,,,,,,,
162,engender,when two gender's male & female end up together .. they produce or give rise to a CHILD..,When genders get together they cause; produce; and give rise to children.,engender ~ gene ~ make offspring,If a species is ENDANGERED it needs to ENGENDER a new child.,engender also means bringing into being.so;thats opposite of endanger  where species will be on the verge of extinct,when 2 gender combine dey give rise to a new gender(boy or a girl),,,,,,,,,,,,,,,,,,,,
163,entitled,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
164,pertinacious,pertinacious = pre(before) + teenage : The age before teenage is where a person shows a childish behaviour and is very stubborn in a negative sense.,"related to ""persistent"" and ""tenacious""",maa...........,"Per+Tin+Acious-""PER"" means ""As per sth""; TIN(teenager) & teenager r determined to achieve without caring others.So determined to achieve a particular aim despite difficulties/opposition","per-tina -cious (par tina nahin manthi ie.;  

stubborn )",PER (every) TINA (people who prefer fish-fishing to eve-fishing may read it as TUNA :D) CI's (sees) OUS -  :-P and i won't entertain no argument against it :-P,,,,,,,,,,,,,,,,,,,,
165,presumptuous,"Focus on ""Presum"" (Presume)--> To overstep your boundaries by boldly PRESUMing/assuming something.",,"Consider the word in bracket only :
pre(sum )ptuous
We can relate sum with Money or hafta vasooli. The ppl doing hafta vasooli are ARROGANT and taking LIBERTY of our silence",one who pre-assume things is a forward; bold and arrogant person,Pre+assuming something means you are overly forward and arrogant..in thinking this way,,pre + sumptuous = thinking u r sumptuous from before is a conceit act,presumptuous  like assuming means haughty,pre(prior)+sumptuous(i.e. temptuous)..thus the one who is temptuous  prior to coming here..i.e.haughty; arrogant,Pre assuming thu(throw) us;he is preassuming that he can throw us;shows his ignorance n overconfidence,,,,,,,,,,,,,,,,
166,probity,PRO(pahle)+beti(ladkiya) sounds like girls first 'something having high morale',Probe is done to  verify probity.So probity=neccessity (or reason ) for probe.,basically this word is taken from latin probus..means honesty..............,A PROBATION Officer tries to keep former criminals HONEST.,A father telling is daughter Please(P) roh(RO) mat Beti(bity) you have not lost your integrity or moral values.,Let them probe; they wont find any mistakes - probity,probity= PRO+BT = Professer Balgangadar Tilak.. He was a man of uprightness and Incorruptibility...!!!,remember it as 'probe with integrity' means keep moral principles intact;be honest..,PROBE-BETI... The father suspects the Daughter has taken to Drugs and compromised her INTEGRITY; so he probes/investigates the BETI,Probity = No Problem guy,When Police bits prisoner (probity)with probe .then he becomes honest.,now a days probability of finding a honest person is very less,Probe+it- probe ur conscience to grow in uprightness; honesty.,means to examine or investigate; Probe is done to verify probity,Probe a murder without being corrupted,What is the probability of signal integrity,Kobe has no probity.  (you have to know Kobe Bryant's history for this to work),prob(lem)+beti: beti is very sincere n honest so they will not get any problems,Probity - A probe goes in Tea ... or In - Tea - Gree(n) Tea to check its Hones - Tea,,,,,,,
167,proliferate,life rate=its always increasing,"PRO+LIFE+RATE-->

promote life rate",pro + life + rate : increase in rate of production (pro) of life (living organisms) causes population to increase rapidly,(PROLI)petrol (RATE)rate increase rapidly and quickly these days!!,pro + life + rate : in our professional (pro) life; we should work at faster rate to grow rapidly.,"rapidly+lift+rate
i.e;flourish",,,,,,,,,,,,,,,,,,,,
168,specious,It sounds like 'suspicious'.,"Like the movie ""Species"" about an alien woman who looks human but has other plans",Seemingly true/plausible/attractive; but when SPECulated closely; it was found to be fallaCIOUS.,"spec+ious => ppl with specs normally seem reasonable but end up being incorrect.
* (no offense; just to remember)",He made a SPEECH to US which was false,JANta ke pisonse TICKET khared kar trip gaya,SPEC-to see/to seem specious--sthg that seems to be like this but actually it isnt,she peed sauce;I saw it.Looks true but it can't be,"specious = ""speech""ious; means it is true only in speech or words but not in reality",people having spects can clearly see but actually not(with out spects),Looks like spAcious but actually not; then it is spEcious,,,,,,,,,,,,,,,
169,spurious,s-PURE+ious...pure means true...spurious means the opposite of it..which is FALSE;CONTERFEIT,"Sounds like ""furious"". You get furious when you hear spurious arguments.",Read it: s-poor-ious argument.,"s pur ious- sounds like ""s its pure lies""","to ""spurn"" means to reject. So you SPURn anything that is SPURious (false).",The polka dotted sponges in the aquarium were not the real; rare ones living in the ocean. They were fake.,"Split ""Spurious"" into spur+ious; where spur means instantly(spur of the moment). So anything done without much thought and immediately can result in falsehood or may be illogical.",you get furious when you get spurious (counterfeit)dollar bills,the fast and the spurious.lol,,,,,,,,,,,,,,,,,
170,subjective,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
171,subvert,can be remembered with help of root word:sub(below; down)+vert(to turn)..and downfall of something is subvert...,I averted the disaster by completely subverting the nuclear submarine,,,,,,,,,,,,,,,,,,,,,,,,
172,timorous,sounds like TIME + OVER: imagine you are giving your GRE exam; and your time gets over; you will get frightened.. = fear  = demonstrate fear. :),timorous=timor+ous ; think of timor ..we become fearful hearing the East timor+ USA war..,timorous means showing or suffering from nervousness or a lack of confidence...TUMOURous...if you come to know that you have a tumour; you will be TIMOROUS....,timorous = timid,Timorous and Nervous are rhyming words with the same meaning. They refer to someone who is faint-hearted or afraid.,Pronounced similar to Amorous; So Gunnu is fearful of amorous conquests,ok little weak but concentrate to understand. Amorous is illicit love. Not pure love. And we don't fear the world in pure love. So we fear the world in timorous (a form of timid amorous),Timorous sounds like Timon.... try to relate it with Timon of cartoon Timon and Pumba where Timon was really COWARD,remember from history the  great mongol ruler Timur-lung... every king ws fearful of him,timid and morose,tehi moros: when we saw a tiger in front of us then,,,,,,,,,,,,,,,
173,tortuous,a tortoise does not move in straight line... it keeps twisting and turning making path complicated.,tortuous - torque(twisting)uous: full of twisting,TORTUre fOr US to follow,tortoise mosquito coil will not be straight it is twisted and  winded . Tortoise coil is in rhyming with tortuous.,The Tortuous Spiral Maze; which had a lot of twists and turns; had everyone perplexed.,The Tortuous Spiral Maze (which has a lot of twists and turns) had everynone perplexed.,if u remember contort it means to twist out shape. tortuous meaning is very close to that.,tortuous can be compared to circuitous.. And both means almost same,the pronunciation of this word is not simple; it twists the tongue,,,,,,,,,,,,,,,,,
174,tractable,Tractable sounds like tractor ;which makes it easy to manage a field .,It is easy to 'Trace' a 'Table' in a house. So it is easily managable.,tractable:means someone can be put into track easily; thus easily managable,TRACTABLE rhymes with TRAPPABLE.so someone who is trappable can EASILY INFLUENCED OR CONTROLLED,TRACTABLE and FLEXIBLE are rhyming words with a similar meaning. Both words stand for someone who is easy to deal with or control.,Think of the way the tread on a TRACTOR's tires MOLD the mud so easily because of the weight of the tractor.,traction=movement  so; tractable=can be moved easily i.e. easily manageable,something you are ABLE to keep a TRACK of,TRACTors were invented to make large equipment easier to move and control on any TRACT of land.,with track and table;we can easily manage things or easily work or deal,"Note the similarity between tractable and tractor. Both come from the Latin word tractare; which originally meant ""to drag about."" You can think of a tractable person as someone who can be dragged about easily; like a plow.",if draw a table(time table) for anything it can b easily manged & easily understandable,,,,,,,,,,,,,,
175,transient,remember transient light and transient current.... that we studied in physics.....which produce an effect for a very short time...,ORIGIN late 16th cent.: from Latin transient- â€˜going across;â€™ from the verb transire; from trans- â€˜acrossâ€™ + ire â€˜go.â€™,in transit:i.e. have to stay for some time;temporary stay,TRANSIENT which means unstable or momentary is the opposite of CONSTANT which refers to stability; something stable.,"Transient means 'passing over' or 'crossing over'.
So; any thing passing over or crossing over will be available for short period of time and hence will be ""short lived"".",Forest-Hobos (half ent-half human) in trance (trans) moving from city to city like zombies ready to eat your head.,,,,,,,,,,,,,,,,,,,,
176,ubiquitous,it pronu~ like mosquitos which are being everywhere,remember UB Group of Vijaya Malliya. It is present everywhere in India.,"pronounce it as follows: 
you(u)+ be(bi)along with me EVERYWHERE until u say+QUIT +TO US...(U+BI+QUIT+TOUS)",God is ubiqui-tous because he sticks with-us everywhere at-once,it pronu~ like mosquitos which are being everywhere,u-b-cautious...before doing sins...beacause god is present everywhere,universal+mosquito :i.e existing everywhere,u will quit everything to be with us everywhere,ubiquitous - UBI QUIT OUS(other banks ATM) because they are present everywhere.,Ubiquitous is the opposite of absence.,Everywhere u quit us why?,muslims ll say khuda hafiz when greeting their friends. so relate it to god alla. so ubiquitous means god and god is present everywhere.,UBI(union bank of india) was asked to quit US because they wre present everywhere and were threatening american banks,u-bi-quit-ous = Dont QUIT until u r Up and Below and all over (present everywhere),God U bi EVERYWHERE don't quito us :),UBIQUITOUS = UBI (UNITED BANK OF INDIA) + QUIT + O + US; We quit united bank of India becoz it is not present everywhere & join HDFC becoz it is present everywhere in the world.,,,,,,,,,,
177,underscore,underscore means the special character '_' which we use to EMPHASIZE special words.,my teacher use to say....UNDERline the important terms in your answer(since it indicates the EMPHASIS of ur answer ) if u wanna SCORE better marks in the final xam.......:),Low score underscores the need of more effort for more score.,,,,,,,,,,,,,,,,,,,,,,,
178,venal,ve + nal = we null ....we can be easily bribed when we are null in terms of money ...,venal & penal are rhyming words..as penal is something related to crime..in that way we can remember venal as a crime(corruption).,"venal is somewhat related
to veins that carries blood.a person taking bribes from poor is nothing but their blood sucker","The guy is venal because he has to pay dowry for her sister ""menal's"" marriage.",Venal can be related to vain which carries impure or bad blood ... corruption is also bad,sounds like villain which is corrupt person..behen ke lodo.........,v(we)+ en(enable) + al(all)by means of money i.e making dishonest.,venal sound like binash; from binash---> binosto (corrupted),(LiL bit Abusing)venal=Chinal.Chinal is always corrupted,VENAL: Combination of two words. Very pENAL. PENAL relates to bad crimes that are punishable. Corruption is a good representation of such Very pENAL or VENAL deed.,"venal: ve = we(wealth) is like Nal(hindi : means the tool inserted in horse nose to control him) for him i.e
u can control him by money : corruptable",Rhymes with LEND I CAN'T. A mendicant is unable to lend money.,you have destroyed your life in venal i.e without doing anything.,"NAL=(National aeronautic limited)
V.E(like VP) of NAL is easily corruptable",venal - ve(we)+al(all) being bribe and corrupted,Kings of corruption often end up dead or imprisoned- eVEN AL capone.,Venal and disloyal are similar in sound and both mean... dishonesty.,,,,,,,,,
